Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
K. S. Nikita,"School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece",2025,,,
D. R. Smith; M. Sazegar; I. Yoo,"Department of Electrical and Computer Engineering and the Center for Metamaterials and Integrated Plasmonics, Duke University, Durham, NC, USA; Kymeta Corporation, Woodinville, WA, USA; Department of Electrical and Computer Engineering and the Center for Metamaterials and Integrated Plasmonics, Duke University, Durham, NC, USA",2025,Kymeta Corporation; ,Antennas;metamaterials;metasurfaces;patch antennas;slot antennas,Metamaterials;Integrated circuit modeling;Apertures;Numerical models;Mathematical models;Waveguide components;Metasurfaces
L. -Z. Song; Y. -Z. Diao; P. -Y. Qin; M. Ansari; J. von Loesecke; S. Maci; Y. Jay Guo,"Global Big Data Technologies Centre (GBDTC), University of Technology Sydney (UTS), Ultimo, NSW, Australia; Global Big Data Technologies Centre (GBDTC), University of Technology Sydney (UTS), Ultimo, NSW, Australia; Global Big Data Technologies Centre (GBDTC), University of Technology Sydney (UTS), Ultimo, NSW, Australia; Space and Astronomy, Commonwealth Scientific and Industrial Research Organization (CSIRO), Marsfield, NSW, Australia; Fortify, Boston, MA, USA; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Global Big Data Technologies Centre (GBDTC), University of Technology Sydney (UTS), Ultimo, NSW, Australia",2025,"Australia Research Council Discovery Program(grant numbers:DP 220101158,DP 230101955); Italian Ministry of Research Project of Research of National Interest on Metasurface Antennas(grant numbers:2017S29ZLA); ",Broadband;gradient-index (GRIN) lens;multibeam;optical ray path;wide angle,Lenses;Apertures;Bandwidth;Optics;Broadband antennas;Refractive index;Gain
S. Xu; Y. Shen; Z. Wei; S. Hu,"State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China",2025,National Natural Science Foundation of China(grant numbers:62250610223); Major Key Project of Pengcheng Laboratory (PCL); Key Research and Development Program of Jiangsu Province(grant numbers:BE2021007-2); Fundamental Research Funds for the Central Universities(grant numbers:2242023R40059); Big Data Computing Center at Southeast University for Numerical Calculation; ,Beam switching;circularly polarized (CP);folded reflectarray;folded transmitarray;mode switching;orbital angular momentum (OAM);reconfigurable,Metasurfaces;Antennas;PIN photodiodes;Reflector antennas;Millimeter wave communication;Prototypes;Transmitting antennas
M. Laabs; E. Zakutin; M. Obermaier; D. Plettemeier; E. Bürger; T. Deckert; V. Kotzsch; M. Vanden Bossche,"Chair of Radio Frequency and Photonics Engineering, TU-Dresden University of Technology, Dresden, Germany; Chair of Radio Frequency and Photonics Engineering, TU-Dresden University of Technology, Dresden, Germany; Chair of Radio Frequency and Photonics Engineering, TU-Dresden University of Technology, Dresden, Germany; Chair of Radio Frequency and Photonics Engineering, TU-Dresden University of Technology, Dresden, Germany; National Instruments Corporation, Dresden, Germany; National Instruments Corporation, Dresden, Germany; National Instruments Corporation, Dresden, Germany; National Instruments Corporation, Zaventem, Belgium",2025,European Commission in an Electronic Components and Systems for European Leadership (ECSEL) Joint Undertaking(grant numbers:876124); ,Antenna arrays;mmWave over-the-air (OTA) antenna measurements;near-field (NF) measurement;pattern reconstruction,Antenna measurements;Probes;Antenna arrays;Antennas;Noise measurement;Frequency measurement;Calibration;Phased arrays;Couplings;Time measurement
S. -T. Wang; L. Zhu; Y. -P. Lyu,"Department of Electrical and Computer Engineering, Faculty of Science and Technology, University of Macau, Macau, SAR, China; Department of Electrical and Computer Engineering, Faculty of Science and Technology, University of Macau, Macau, SAR, China; College of Telecommunications and Information Engineering, Nanjing University of Posts and Telecommunications, Nanjing, China",2025,"National Natural Science Foundation of China; General Program(grant numbers:61971475,62371247); Science and Technology Development Fund of Macao; Fundo para o Desenvolvimento das Ciências e da Tecnologia (FDCT) Research(grant numbers:0085/2020/AMJ,0080/2021/A2,0075/2023/RIA2); State Key Laboratory of Millimeter Wave(grant numbers:K202314); University of Macau(grant numbers:CPG2024-00014-FST); ",Harmonic absorption;loaded antennas;patch antennas;resistive loading,Harmonic analysis;Loading;Power harmonic filters;Absorption;Resistors;Reflector antennas;Load modeling;Loaded antennas;Antennas;Reflection
G. -J. Ng; E. -H. Lim; P. -S. Chee; M. Murugesh,"Department of Electrical and Electronic Engineering, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Department of Electrical and Electronic Engineering, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Department of Mechatronics and Biomedical Engineering, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Department of Electrical and Electronic Engineering, Universiti Tunku Abdul Rahman, Kajang, Malaysia",2025,Fundamental Research Grant Scheme (FRGS)(grant numbers:FRGS/1/2022/TK07/UTAR/01/2); ,Anti-metal tag antenna;dual-band tag antenna;split-ring resonator (SRR);UHF radio frequency identification (RFID) tag antenna,Radiofrequency identification;Antennas;Resonant frequency;Dual band;Antenna measurements;Metals;Impedance;UHF antennas;Semiconductor device measurement;Impedance measurement
H. -T. Chou; Z. -D. Yan,"Graduate Institute of Communication Engineering, National Taiwan University, Taipei, Taiwan; Graduate Institute of Communication Engineering, National Taiwan University, Taipei, Taiwan",2025,"Ministry of Science and Technology, Taiwan(grant numbers:B5G/6G); ",Antenna array;antenna-in-package (AiP);dipole antennas;dual band;dual polarization;endfire radiation;low-temperature co-fired ceramics (LTCCs);multilayer substrates,Metals;Microstrip;Dipole antennas;Dual band;Substrates;Microstrip antenna arrays;Antennas;Antenna radiation patterns;Dielectric substrates;Baluns
L. -L. Wang; X. -S. Yang,"School of Physics, University of Electronic Science and Technology of China, Chengdu, China; School of Physics, University of Electronic Science and Technology of China, Chengdu, China",2025,National Natural Science Foundation of China(grant numbers:62271112); ,Adjoint sensitivity analysis (ASA);broadband;fast frequency sweep (FFS);model order reduction (MOR);topology optimization;well-conditioned asymptotic waveform evaluation (WCAWE),Broadband antennas;Optimization;Mathematical models;Broadband communication;Vectors;Topology;Linear programming;Iron;Scattering parameters;Sensitivity analysis
Y. Wang; H. Pan; T. -T. Chan,"Department of Mathematics and Information Technology, The Education University of Hong Kong, Hong Kong, SAR, China; College of Computer Science and Software Engineering, Shenzhen University, Shenzhen, China; Department of Mathematics and Information Technology, The Education University of Hong Kong, Hong Kong, SAR, China",2025,National Natural Science Foundation of China(grant numbers:62371302); Research Matching Grant Scheme from the Research Grants Council of Hong Kong; ,Chirality;circular polarization;dual-band dual-sense (DBDS);millimeter wave (MMW);rectenna;wireless power transmission,Rectennas;Dual band;Antennas;Antenna arrays;Rectifying circuits;Electric fields;Antenna feeds;Polarization;Substrates;Reflector antennas
