Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
K. Wa Leung,"City University of Hong Kong, Kowloon Tong, Hong Kong SAR, China",2016,,,
E. A. Etellisi; M. A. Elmansouri; D. S. Filipovic,"Department of Electrical, Computer, and Energy Engineering, University of Colorado, Boulder, CO, USA; Department of Electrical, Computer, and Energy Engineering, University of Colorado, Boulder, CO, USA; Department of Electrical, Computer, and Energy Engineering, University of Colorado, Boulder, CO, USA",2016,Office of Naval Research (ONR)(grant numbers:N00014-15-1-2125); ,Self-interference cancellation;mutual coupling;spiral;ultra wideband antennas;Mutual coupling;self-interference cancelation;spiral;ultra-wideband antennas,Spirals;Antenna radiation patterns;Bandwidth;Feeds;Ports (Computers);Receiving antennas
A. Rashidian; L. Shafai,"Peraso Technologies Inc., Toronto, ON, Canada; Department of Electrical and Computer Engineering, The University of Manitoba, Winnipeg, MB, Canada",2016,Natural Sciences and Engineering Research Council of Canada (NSERC); Canada Research Chair Program; ,Compact antennas;lightweight;polymers;radiation modes;resonator antennas;wideband antennas;Compact antennas;lightweight;polymers;radiation modes;resonator antennas;wideband antennas,Antenna measurements;Dielectric resonator antennas;Bandwidth;Plastics;Impedance;Resonant frequency
R. Bhattacharya; R. Garg; T. K. Bhattacharyya,"National Institute of Technology Patna, Patna, India; Indian Institute of Technology Kharagpur, Kharagpur, India; Indian Institute of Technology Kharagpur, Kharagpur, India",2016,,pseudo-monopole;balun-less printed dipole;Yagi-Uda antenna;pattern diversity antenna;commonmode/ differential-mode (CM/DM) modeling;Balun-less printed dipole;common-mode/differential-mode (CM/DM) modeling;pattern diversity antenna;pseudomonopole;Yagi-Uda antenna,Dipole antennas;Yagi-Uda antennas;Antenna measurements;Antenna radiation patterns;Coplanar waveguides;Gain
D. J. Bisharat; S. Liao; Q. Xue,"Department of Electronic Engineering, City University of Hong, Kowloon Tong, Hong Kong; State Key Laboratory of Millimeter Waves, Department of Electronic Engineering, CityU Shenzhen Research Institute, City University of Hong Kong, Kowloon Tong, Hong Kong; State Key Laboratory of Millimeter Waves, Department of Electronic Engineering, CityU Shenzhen Research Institute, City University of Hong Kong, Kowloon Tong, Hong Kong",2016,National Basic Research Program of China (973 Program)(grant numbers:2014CB339900); National Natural Science Foundation of China(grant numbers:61372056); Science Technology and Innovation Committee of Shenzhen(grant numbers:JSGG20150331154209122); ,Aperture antenna;broadband;circular polarization (CP);differential feeding;high gain;planar antenna;millimeter-wave (mmWave);Aperture antenna;broadband;circular polarization (CP);differential feeding;high gain;millimeter-wave (mm-Wave);planar antenna,Aperture antennas;Cavity resonators;Broadband antennas;Bandwidth;Antenna arrays
D. Sun; Z. Zhang; X. Yan; X. Jiang,"School of Information Science and Technology, Fudan University, Shanghai, China; AVIC LEIHUA Electronic Technology Research Institute, Wuxi, China; AVIC LEIHUA Electronic Technology Research Institute, Wuxi, China; School of Information Science and Technology, Fudan University, Shanghai, China",2016,,Cavity-backed microstrip patch antenna;dual polarization;broadband;proximity-coupling;Broadband;cavity-backed microstrip patch antenna;dual polarization;proximity-coupling,Patch antennas;Cavity resonators;Bandwidth;Broadband antennas;Boundary conditions;Broadband communication
K. -L. Wong; C. -Y. Tsai,"Department of Electrical Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan; Department of Electrical Engineering, National Sun Yat-Sen University, Kaohsiung, Taiwan",2016,,mobile antennas;metal-frame antennas;inverted-F antennas;LTE antennas WWAN antennas;feed circuit boards;Feed circuit boards;inverted-F antennas (IFAs);LTE antennas WWAN antennas;metal-frame antennas;mobile antennas,Metals;Printed circuits;Tablet computers;Strips;Feeds;Inductors
M. -C. Tang; T. Shi; R. W. Ziolkowski,"College of Communication Engineering, Chongqing University, Chongqing, China; College of Communication Engineering, Chongqing University, Chongqing, China; Department of Electrical and Computer Engineering, University of Arizona, Tucson, AZ, USA",2016,"National Natural Science Foundation of China(grant numbers:61471072); Fundamental Research Funds for the Central Universities(grant numbers:106112015CDJZR165510); Natural Science Foundation of Chongqing, China(grant numbers:CSTC2013JJB40005); ",Bandwidth;parasitic elements;pattern stability;planar antennas;realized gain;UWB antennas;Bandwidth;parasitic elements;pattern stability;planar antennas;realized gain;UWB antennas,Ultra wideband antennas;Slot antennas;Antenna measurements;Gain;Impedance;Bandwidth
M. Mavridou; A. P. Feresidis; P. Gardner,"School of Electronic, Electrical, and Systems Engineering, University of Birmingham, Birmingham, U.K.; School of Electronic, Electrical, and Systems Engineering, University of Birmingham, Birmingham, U.K.; School of Electronic, Electrical, and Systems Engineering, University of Birmingham, Birmingham, U.K.",2016,U.K. EPSRC(grant numbers:EP/J500367/1); ,Antenna arrays;electromagnetic band-gap;mutual coupling;tuning;ultra wideband antennas;varactors;Antenna arrays;electromagnetic band-gap (EBG);mutual coupling;tuning;ultrawideband (UWB) antennas;varactors,Periodic structures;Metamaterials;Varactors;Capacitance;Tuning;Antennas;Resonant frequency
H. Yang; Z. Jin; G. Montisci; Y. Liu; X. He; G. A. Casula; G. Mazzarella,"College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China; College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China; Dipartimento di Ingegneria Elettrica ed Elettronica, Università di Cagliari, Cagliari, Italy; College of Electronics Science and Engineering, National University of Defense Technology, Changsha, China; Department of Physics, Hangzhou Normal University, Hangzho, China; Dipartimento di Ingegneria Elettrica ed Elettronica, Università di Cagliari, Cagliari, Italy; Dipartimento di Ingegneria Elettrica ed Elettronica, Università di Cagliari, Cagliari, Italy",2016,Zhejiang Provincial Natural Science Foundation of China(grant numbers:Y6110177); Natural Science Foundation of China(grant numbers:61171016); ,Conformal array;cylindrically stratified media;SIW slot array;Conformal array;cylindrically stratified media;slotted waveguide arrays;substrate integrated waveguide (SIW) slot array,Mutual coupling;Dielectrics;Conformal arrays;Antenna arrays;Slot antennas;Mathematical model
D. P. Scholnik,"Radar Division, Naval Research Laboratory, Washington, DC, USA",2016,Office of Naval Research; ,Phased arrays;Optimization;Antenna radiation patterns;Transmitting antennas;Antenna radiation patterns;optimization;phased arrays;transmitting antennas,Arrays;Optimization;Antenna arrays;Radar antennas;Lattices;Radar;Transmitting antennas
M. Niroo Jazi; M. R. Chaharmir; J. Shaker; A. R. Sebak,"Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; Communications Research Centre Canada, Ottawa, ON, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada",2016,Natural Sciences and Engineering Research Council of Canada; ,Transmitarrays;polarization;aperture antennas;scanning antennas and antenna feeds;Antenna feeds;aperture antennas;polarization;scanning antennas;transmitarrays,Band-pass filters;Apertures;Microwave filters;Broadband antennas;Bandwidth;Frequency selective surfaces;Transmitting antennas
J. -D. Zhang; W. Wu; D. -G. Fang,"Ministerial Key Laboratory of JGMT, School of Electronic Engineering and Optoelectronic Technology, Nanjing University of Science and Technology, Nanjing, China; Ministerial Key Laboratory of JGMT, School of Electronic Engineering and Optoelectronic Technology, Nanjing University of Science and Technology, Nanjing, China; Ministerial Key Laboratory of JGMT, School of Electronic Engineering and Optoelectronic Technology, Nanjing University of Science and Technology, Nanjing, China",2016,China Postdoctoral Science Foundation(grant numbers:2014M561650); ,Dual bands;dual circular polarizations;single layer;shared-aperture array;sequential rotation technique;Dual bands;dual-circular polarizations (CPs);single layer;sequential rotation technique;shared-aperture array,Arrays;Dual band;Feeds;Bandwidth;Antenna arrays;Substrates
J. Li; S. Yang; Y. Gou; J. Hu; Z. Nie,"School of Electronic Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Electronic Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Electronic Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Electronic Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China; School of Electronic Engineering, University of Electronic Science and Technology of China (UESTC), Chengdu, China",2016,"Natural Science Foundation of China(grant numbers:61125104,61231001,61571101); 111 project of China(grant numbers:B07046); ",artificial periodic structures;dual-polarization;high port isolation;magnetically couple;wideband antenna;Artificial periodic structures (APS);dual-polarization;high port isolation;magnetically couple;wideband antenna,Ports (Computers);Substrates;Arrays;Bandwidth;Metals;Antenna arrays
P. Wu; S. Liao; Q. Xue,"State Key Laboratory of Millimeter Waves, Department of Electronic Engineering, and CityU Shenzhen Research Institute, City University of Hong Kong, Kowloon Tong, Hong Kong; State Key Laboratory of Millimeter Waves, Department of Electronic Engineering, and CityU Shenzhen Research Institute, City University of Hong Kong, Kowloon Tong, Hong Kong; State Key Laboratory of Millimeter Waves, Department of Electronic Engineering, and CityU Shenzhen Research Institute, City University of Hong Kong, Kowloon Tong, Hong Kong",2016,Technology Research Project of Shenzhen City(grant numbers:JSGG20150331154209122); Science and Technology Planning Project of Guangdong Province(grant numbers:2014B050504002); National Basic Research Program of China(grant numbers:2014CB339900); ,Antenna;feeding network;higher order mode;slot array;Antenna;feeding network;higher order mode;slot array,Arrays;Antenna arrays;Cavity resonators;Bandwidth;Microstrip;Slot antennas;Antenna feeds
M. Mencagli; E. Martini; S. Maci,"Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Wave Up S.r.l., Firenze, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",2016,,Metasurfaces;surface impedance;surface waves;Metasurfaces;surface impedance;surface-waves,Capacitance;Dispersion;Geometry;Antennas;Surface waves;Surface impedance;Impedance
O. S. Kim,"Department of Electrical Engineering, Electromagnetic Systems, Technical University of Denmark, Lyngby, Denmark",2016,,Electrically small antennas;frequency bandwidth;magnetic currents;physical bounds;Poynting’s theorem;quality factor;Q factor;radiation;reactive energy;stored energy;Electrically small antennas;frequency bandwidth;magnetic currents;physical bounds;Poynting’s theorem;quality factor (Q);radiation;reactive energy;stored energy,Current density;Dipole antennas;Q-factor;Bandwidth;Boundary conditions;Integral equations
E. Martini; M. Mencagli; D. González-Ovejero; S. Maci,"Wave Up S.r.l., Firenze, Italy; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy; Astronomy Department, California Institute of Technology, Pasadena, CA, USA; Department of Information Engineering and Mathematics, University of Siena, Siena, Italy",2016,Marie Curie International Outgoing Fellowship; 7th European Community Framework Programme; ,Metasurfaces;Surface-waves;Geometrical Optics;Transformation Optics;Ray Tracing;Geometrical optics;metasurfaces;ray tracing;surface waves;transformation optics,Optics;Surface impedance;Optical surface waves;Impedance;Surface waves;Boundary conditions;Surface treatment
F. Liang; G. W. Hanson; A. B. Yakovlev; G. Lovat; P. Burghignoli; R. Araneo; S. A. Hassani Gangaraj,"School of Physical Electronics, University of Electronic Science and Technology of China, Chengdu, China; Department of Electrical Engineering, University of Wisconsin-Milwaukee, Milwaukee, WI, USA; Department of Electrical Engineering, The University of Mississippi, University, MS, USA; Department of Astronautic, Electrical and Energetic Engineering, “La Sapienza” University of Rome, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications, “La Sapienza” University of Rome, Rome, Italy; Department of Astronautic, Electrical and Energetic Engineering, “La Sapienza” University of Rome, Rome, Italy; Department of Electrical Engineering, University of Wisconsin-Milwaukee, Milwaukee, WI, USA",2016,National Natural Science Foundation of China(grant numbers:61204041); China Postdoctoral Science Foundation(grant numbers:2014M552335); Fundamental Research Funds for the Central Universities of China(grant numbers:ZYGX2013J049); China Scholarship Council; ,Metasurface;Homogenization;Green’s functions;Green’s functions;homogenization;metasurface,Surface impedance;Green's function methods;Surface waves;Tensile stress;Impedance;Magnetic susceptibility;Electronic mail
Y. Jia; Y. Liu; Y. J. Guo; K. Li; S. -X. Gong,"Science and Technology on Antenna and Microwave Laboratory, Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China; Science and Technology on Antenna and Microwave Laboratory, Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China; Global Big Data Technologies Center, University of Technology, Sydney, N.S.W., Australia; National Laboratory of Antenna and Microwave Technology, Xidian University, Xi’an, China; Science and Technology on Antenna and Microwave Laboratory, Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China",2016,"National Natural Science Foundation of China(grant numbers:61372001,61401336,61471278); ",Polarization rotation;reflective surface;radar cross section (RCS);Polarization rotation (PR);radar cross section (RCS);reflective surface,Bandwidth;Resonant frequency;Surface impedance;Reflection;Broadband antennas;Broadband communication;Surface waves
