Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
M. Nikoufard; A. Nourmohammadi; S. Esmaeili,"Department of Electronics, University of Kashan, Kashan, Iran; Nanoscience and Nanotechnology Center, University of Kashan, Kashan, Iran; Department of Electronics, University of Kashan, Kashan, Iran",2018,,Bowtie nanoantenna;director;hybrid plasmonic (HP) waveguide;InGaAsP materials;photonic integrated circuits (PICs),Optical waveguides;Optical device fabrication;Optical reflection;Optical imaging;Optical diffraction;Biomedical optical imaging;Optical filters
F. Farzami; S. Khaledian; B. Smida; D. Erricolo,"Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA",2018,U.S. National Science Foundation CAREER Award(grant numbers:1620902); ,Circular polarization (CP);filtenna;linear polarization;p-i-n diode;polarizer;reconfigurable polarization antenna;rectangular waveguide (RWG);satellite communication,Polarization;Antennas;Shape;P-i-n diodes;Resonant frequency;Antenna measurements;Radio frequency
Z. Tao; W. X. Jiang; H. F. Ma; T. J. Cui,"State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China",2018,"National Science Foundation of China(grant numbers:61631007,61571117,61522106,61501117,61501112); 111 Project(grant numbers:111-2-05); Foundation of National Excellent Doctoral Dissertation of China(grant numbers:201444); Natural Science Foundation of Jiangsu Province(grant numbers:BK20150020); ",High aperture efficiency;high gain;horn-based lens antenna,Lenses;Horn antennas;Aperture antennas;Electric fields;Refractive index
M. S. Abdallah; Y. Wang; W. M. Abdel-Wahab; S. Safavi-Naeini,"Department of Electrical, Computer and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, Canada; Department of Electrical, Computer and Software Engineering, University of Ontario Institute of Technology, Oshawa, ON, Canada; Electronics Research Institute, Cairo, Egypt; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada",2018,Natural Sciences and Engineering Research Council of Canada; C-COM Satellite Systems Inc.; ,Dielectric resonator antenna (DRA);millimeter-wave antenna;space mapping (SM);substrate integrated waveguide (SIW),Integrated circuit modeling;Antenna arrays;Impedance;Slot antennas;Dielectric resonator antennas;Optimization;Rectangular waveguides
P. Lu; D. Voyer; A. Bréard; J. Huillery; B. Allard; X. Lin-Shi; X. -S. Yang,"Ampere, CNRS URM 5005, École Centrale de Lyon, INSA-Lyon, UCBL, Université de Lyon, Écully, France; EIGSI La Rochelle Casablanca, La Rochelle, France; Ampere, CNRS URM 5005, École Centrale de Lyon, INSA-Lyon, UCBL, Université de Lyon, Écully, France; Ampere, CNRS URM 5005, École Centrale de Lyon, INSA-Lyon, UCBL, Université de Lyon, Écully, France; Ampere, CNRS URM 5005, École Centrale de Lyon, INSA-Lyon, UCBL, Université de Lyon, Écully, France; Ampere, CNRS URM 5005, École Centrale de Lyon, INSA-Lyon, UCBL, Université de Lyon, Écully, France; School of Physical Electronics, University of Electronic Science of Technology of China, Chengdu, China",2018,China Scholarship Council; ,Bessel beams;leaky-wave modes;transverse electric (TE)-polarized,Microwave antennas;Impedance;Antenna measurements;Mathematical model;Magnetic resonance;Planar waveguides
Y. M. Pan; W. J. Yang; S. Y. Zheng; P. F. Hu,"School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; Department of Electronics and Communication Engineering, Sun Yat-sen University, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China",2018,Guangdong Natural Science Funds for Distinguished Young Scholars(grant numbers:2016A030306007); Pearl River Nova Program of Guangzhou(grant numbers:201506010005); Guangdong Provincial Key Laboratory of Short Range Wireless Detection and Communication; ,Circularly polarized (CP) antenna;crossed-dipole antenna;patch antenna;wideband antenna,Dipole antennas;Broadband antennas;Wideband;Reflection coefficient;Impedance
R. B. V. B. Simorangkir; Y. Yang; K. P. Esselle; B. A. Zeb,"School of Engineering, Macquarie University, Sydney, NSW, Australia; School of Computing and Communications, University of Technology Sydney, Ultimo, NSW, Australia; School of Engineering, Macquarie University, Sydney, NSW, Australia; School of Engineering, Macquarie University, Sydney, NSW, Australia",2018,International Macquarie University Research Excellence Scholarship; Macquarie University WiMed Research Center Project Grant; ,Conductive fabric;flexible antenna;frequency reconfiguration;patch antenna;polydimethylsiloxane (PDMS);polymer;reconfigurable;varactors;wearable,Varactors;Fabrics;Antenna accessories;Substrates;Robustness;Tuning
J. Zhao; X. Chen; S. Wang; W. Liu; B. Ji; Y. Liu; Z. Sun; T. Xu,"Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China; Merchant Marine College, Shanghai Maritime University, Shanghai, China",2018,"National Natural Science Foundation of China(grant numbers:51709167,51579143,51379121); Shanghai Municipal Science and Technology Commission Project(grant numbers:16040501700); Shanghai Shuguang Plan Project(grant numbers:15SG44); China Postdoctoral Science Foundation(grant numbers:2015M581585); ",Deformable tube;gas discharge;intelligent navigation;plasma antenna,Plasmas;Electron tubes;Discharges (electric);Helical antennas;Shape;Antenna radiation patterns
S. Zheng; S. Gao; Y. Yin; Q. Luo; X. Yang; W. Hu; X. Ren; F. Qin,"National Key Laboratory of Antennas and Microwave Technology and the Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; National Key Laboratory of Antennas and Microwave Technology and the Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; School of Electronic Engineering, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology and the Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology and the Collaborative Innovation Center of Information Sensing and Understanding, Xidian University, Xi’an, China; State Key Laboratory of Integrated Services Networks, Xidian University, Xi’an, China",2018,"National Natural Science Foundation of China(grant numbers:61671349,61501340); ",Conical;dual circular polarizations (CPs);dynamic differential evolution;frequency-independent antenna;sinuous antenna;wideband coupler,Apertures;Broadband antennas;Array signal processing;Couplers;Impedance
J. Wang; L. Zhao; Z. -C. Hao; J. -M. Jin,"State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; State Key Laboratory of Millimeter Waves, School of Information Science and Engineering, Southeast University, Nanjing, China; Department of Electrical and Computer Engineering, University of Illinois at Urbana-Champaign, Urbana, IL, USA",2018,"National Science Foundation of China(grant numbers:61771226,61372057,61671223); Open Project of State Key Laboratory of Millimeter Waves(grant numbers:K201613); ",Dual-polarized omnidirectional antenna;inverted-cone monopole;modified cross bow-tie dipole,Dipole antennas;Antenna radiation patterns;Omnidirectional antennas;Broadband antennas;Wideband;Pins;Wireless LAN
S. S. Yoon; J. W. Lee; T. -K. Lee; J. H. Roh,"Department of Electronics and Information Engineering, Korea Aerospace University, Goyang, South Korea; Department of Electronics and Information Engineering, Korea Aerospace University, Goyang, South Korea; Department of Electronics and Information Engineering, Korea Aerospace University, Goyang, South Korea; Department of Mechanical Engineering, Korea Aerospace University, Goyang, South Korea",2018,Global Surveillance Research Center; Agency for Defense Development; ,Carbon fiber reinforced polymer (CFRP);deployable reflector antenna;effective electrical conductivity;synthetic aperture radar (SAR),Reflector antennas;Conductivity;Optical fiber polarization;Composite materials;Satellite antennas;Synthetic aperture radar;Permittivity
D. Wen; Y. Hao; M. O. Munoz; H. Wang; H. Zhou,"School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; Huawei Technologies (UK) Company, Ltd., Reading, U.K.; Huawei Technologies (UK) Company, Ltd., Reading, U.K.",2018,"Huawei Technologies (UK) Company, Ltd.; ",Characteristic modes (CMs);compact antenna;high-impedance surface (HIS);low-profile antenna;multi-in multi-out (MIMO) antenna;wearable antenna;wireless local area network,MIMO;Antenna radiation patterns;Directive antennas;Reflection;Scattering parameters;Current distribution
S. -C. Chen; P. -W. Wu; C. -I. G. Hsu; J. -Y. Sze,"Electrical and Electronic Engineering Department, Chung Cheng Institute of Technology, National Defense University, Taoyuan, Taiwan; GW Instek Corp., New Taipei City, Taiwan; Department of Electrical Engineering, National Yunlin University of Science and Technology, Yunlin, Taiwan; Electrical and Electronic Engineering Department, Chung Cheng Institute of Technology, National Defense University, Taoyuan, Taiwan",2018,"Ministry of Science Technology, Taiwan(grant numbers:MOST 104-2221-E-606-006); ",Hinge;laptop;multi-input multi-output (MIMO);open-slot antenna,Fasteners;Slot antennas;MIMO;Portable computers;Antenna measurements;Frequency measurement
