Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
D. Erricolo,"Department of Electrical and Computer Engineering Chicago, University of Illinois at Chicago, IL, USA",2017,,,
S. Zhang; G. F. Pedersen,"Antennas, Propagation and Radio Networking Section, Aalborg University, Aalborg, Denmark; Antennas, Propagation and Radio Networking Section, Aalborg University, Aalborg, Denmark",2017,Innovationsfonden Denmark project of “Intelligent rotor for wind energy cost reduction.”; ,Coupled microstrip resonator;endfire radiation;large metallic surface;low profile;vertical polarization;wideband antenna,Wideband;Microstrip resonators;Broadband antennas;Resonant frequency
U. Beaskoetxea; S. Maci; M. Navarro-Cía; M. Beruete,"Antennas Group-TERALAB, Universidad Pública de Navarra, Pamplona, Spain; Department of Information Engineering, University of Siena, Siena, Italy; School of Physics and Astronomy, University of Birmingham, B15 2TT, Birmingham, U.K.; Antennas Group-TERALAB, Universidad Pública de Navarra, Pamplona, Spain",2017,Spanish Government(grant numbers:TEC2014-51902-C2-2-R); University of Birmingham through a Birmingham Fellowship; Spanish Government(grant numbers:RYC-2011-08221); ,Bull’s-Eye (BE) antenna;corrugated surface;leaky wave horn antenna;millimeter-waves;off-axis beaming;stereolitography,Mathematical model;Optical surface waves;Surface waves;Apertures;Millimeter wave technology;Metals
R. A. C. Baelemans; A. T. Sutinjo; P. J. Hall; A. B. Smolders; M. J. Arts; E. de Lera Acedo,"International Centre for Radio Astronomy Research, Curtin University, Bentley, WA, Australia; International Centre for Radio Astronomy Research, Curtin University, Bentley, WA, Australia; International Centre for Radio Astronomy Research, Curtin University, Bentley, WA, Australia; Eindhoven University of Technology, Eindhoven, AZ, The Netherlands; ASTRON, The Netherlands Institute for Radio Astronomy, Dwingeloo, The Netherlands; Cavendish Laboratory, University of Cambridge, Cambridge, U.K.",2017,,Antenna theory;modeling;polarimetry;polarization;radio astronomy,Dipole antennas;Closed-form solutions;Phased arrays;Radio astronomy;Apertures
J. Wang; Q. Liu; L. Zhu,"Ministerial Key Laboratory of JGMT, Nanjing University of Science and Technology, Nanjing, China; Ministerial Key Laboratory of JGMT, Nanjing University of Science and Technology, Nanjing, China; Department of Electrical and Computer Engineering, University of Macau, Macau SAR, China",2017,National Natural Science Foundation of China(grant numbers:61571468); Macao Science and Technology Development Fund(grant numbers:FDCT-051/2014/A1); University of Macau(grant numbers:MYRG2015-00010-FST); ,Differential-fed;shorting posts;triangular patch antenna;wide bandwidth,Bandwidth;Manganese;Probes;Patch antennas;Geometry;Impedance
M. Manteghi,"Electrical Engineering Department, Virginia Polytechnic Institute and State University, Blacksburg, VA, USA",2017,,Circuit model;electrically small antenna (ESA);electrostatic discharge (ESD);impulse response;transient analysis,Antenna measurements;Antennas;Integrated circuit modeling;Impedance measurement;Impedance;Load modeling;RLC circuits
S. N. Venkatasubramanian; L. Li; A. Lehtovuori; C. Icheln; K. Haneda,"Department of Radio Science and Engineering, Aalto University School of Electrical Engineering, Espoo, Finland; Department of Radio Science and Engineering, Aalto University School of Electrical Engineering, Espoo, Finland; Department of Radio Science and Engineering, Aalto University School of Electrical Engineering, Espoo, Finland; Department of Radio Science and Engineering, Aalto University School of Electrical Engineering, Espoo, Finland; Department of Radio Science and Engineering, Aalto University School of Electrical Engineering, Espoo, Finland",2017,"Academy of Finland, under the project (In-band Full-Duplex MIMO Transmission: A Breakthrough to High-Speed Low-Latency Mobile Networks); Finnish Funding Agency for Technology and Innovation, Tekes, under the project (Full-Duplex Cognitive Radio: Technology and Application to Cognitive M2M Communications); Aalto ELEC Doctoral School, Finland; ",Antenna;decoupling;full-duplex (FDX);isolation;multiple-input multiple-output (MIMO),Antenna arrays;Wideband;Admittance;MIMO;Antenna feeds;Transmission line antennas
S. Liao; Q. Xue,"Shenzhen Key Laboratory of Millimeter-wave and Wideband Wireless Communications, CityU Shenzhen Research Institute, Shenzhen, China; Shenzhen Key Laboratory of Millimeter-wave and Wideband Wireless Communications, CityU Shenzhen Research Institute, Shenzhen, China",2017,Science Technology and Innovation Committee of Shenzhen(grant numbers:JSGG20150331154209122); Guangdong Joint Innovation Project in Guangdong Province(grant numbers:2014B050504002); ,Antenna in package (AiP);dual polarized antenna;millimeter wave (mmWave);planar antenna,Aperture antennas;Bandwidth;Transceivers;Antenna measurements;Impedance
K. -L. Wong; C. -Y. Tsai,"Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan; Department of Electrical Engineering, National Sun Yat-sen University, Kaohsiung, Taiwan",2017,,Frame antennas;half-loop antennas (HLAs);long-term evolution (LTE) antennas;mobile antennas;tablet device antennas,Metals;Antenna feeds;Long Term Evolution;Strips;Robustness
Y. Yao; C. Cui; J. Yu; X. Chen,"Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; Beijing University of Posts and Telecommunications, Beijing, China; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.",2017,National Natural Science Foundation of China(grant numbers:61201026); Beijing Higher Education Young Elite Teacher Project(grant numbers:YETP0438); ,Microstrip (MS) line;near-field applications;phase shifter;radio frequency identification (RFID);reader antenna,Microstrip antennas;Microstrip;Magnetic fields;Radiofrequency identification;Phase shifters;UHF antennas
A. Dadgarpour; M. S. Sorkherizi; T. A. Denidni; A. A. Kishk,"Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; INRS-EMT, Université du Québec, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada",2017,,5G wireless networks;dual-beam radiation;epsilon-near-zero (ENZ) medium;link quality;millimeter-wave antennas;MIMO antenna;ridge gap waveguide (RGW);slot antenna,Slot antennas;Antenna arrays;Permittivity;Slabs;Loaded antennas;Directive antennas
