Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
K. S. Nikita,"School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece",2023,,,
E. Calà; M. Baldelli; A. Catalani; E. Menargues; G. Toso; P. Angeletti,"Airbus Italia S.p.A., Rome, Italy; Airbus Italia S.p.A., Rome, Italy; Airbus Italia S.p.A., Rome, Italy; Swissto12, Renens, Switzerland; RF Payloads and Technology Division, European Space Agency, Noordwijk, The Netherlands; RF Payloads and Technology Division, European Space Agency, Noordwijk, The Netherlands",2023,"European Space Agency (ESA) under the ARTES AT project “Array Fed Reflector Antenna for Non-Regular Beam Size Coverage,” ESTEC(grant numbers:4000117149/16/NL/NR); ",Additive manufacturing (AM);array fed reflector antenna;multibeam antennas;satellite communications systems;shaped beams,Antenna arrays;Reflector antennas;Satellite antennas;Array signal processing;Satellites;Payloads;Satellite communication
P. Wu; K. Liu; Z. Yu,"Chinese Academy of Sciences (CAS), Aerospace Information Research Institute, Beijing, China; GBA Branch of Aerospace Information Research Institute, CAS, Guangzhou, China; Chinese Academy of Sciences (CAS), Aerospace Information Research Institute, Beijing, China",2023,"Foundations of Chinese Academy of Sciences(grant numbers:E0Z121010F,E1Z2D10400,E1Z2D10500); ",Antenna array;feeding network;high gain;higher order mode,Antenna arrays;Gain;Slot antennas;Antennas;Antenna radiation patterns;Substrates;Lenses
H. Nakano; T. Abe; J. Yamauchi,"Department of Science and Engineering, Hosei University, Tokyo, Japan; Department of Science and Engineering, Hosei University, Tokyo, Japan; Department of Science and Engineering, Hosei University, Tokyo, Japan",2023,Japan Society for the Promotion of Science (JSPS) KAKENHI(grant numbers:JP21K04068); ,Circularly polarized (CP) broadside beam;large loop antenna (LLA);metaatom,Antennas;Directive antennas;Helical antennas;Antenna accessories;Loaded antennas;Spirals;Transmission line antennas
J. Cavillot; M. Bodehou; C. Craeye,"École Polytechnique de Louvain, Université Catholique de Louvain, Ottignies-Louvain-la-Neuve, ICTEAM, Belgium; École Polytechnique de Louvain, Université Catholique de Louvain, Ottignies-Louvain-la-Neuve, ICTEAM, Belgium; École Polytechnique de Louvain, Université Catholique de Louvain, Ottignies-Louvain-la-Neuve, ICTEAM, Belgium",2023,Fonds pour la Formation à la Recherche dans l’Industrie et dans l’Agriculture (FRIA); Chargé de Recherches Program from the Belgium Fonds National de la Recherche Scientifique (FNRS); ,Broken rooftop;fast Fourier transforms (FFT);impedance boundary condition (IBC);magnetic frill;metasurfaces (MTSs);method of moments (MoM),Probes;Impedance;Optimization;Antenna feeds;Surface impedance;Method of moments;Conductors
Q. Fu; H. Ni; G. Q. Luo; L. Zhu; L. Liu,"National and Local Joint Engineering Laboratory of RF Integration and Micro-Assembly Technology and the Institute of Flexible Electronics (Future Technology), College of Electronic and Optical Engineering, Nanjing University of Posts and Telecommunications, Nanjing, P. R. China; National and Local Joint Engineering Laboratory of RF Integration and Micro-Assembly Technology and the Institute of Flexible Electronics (Future Technology), College of Electronic and Optical Engineering, Nanjing University of Posts and Telecommunications, Nanjing, P. R. China; Key Laboratory of RF Circuits and System of Ministry of Education, School of Electronics and Information, Hangzhou Dianzi University, Xiasha High Education Zone, Hangzhou, China; Department of Electrical and Computer Engineering, University of Macau, Macau SAR, China; National and Local Joint Engineering Laboratory of RF Integration and Micro-Assembly Technology and the Institute of Flexible Electronics (Future Technology), College of Electronic and Optical Engineering, Nanjing University of Posts and Telecommunications, Nanjing, P. R. China",2023,"National Natural Science Foundation of China(grant numbers:62001250,62125105); ",Balun;high aperture efficiency;planar endfire antenna;spoof surface plasmon polaritons (SSPPs);zero-tilted angle,Antennas;Transmission line antennas;Current distribution;Baluns;Loaded antennas;Horn antennas;Helical antennas
Z. -Y. Zhang; K. W. Leung; K. Lu,"State Key Laboratory of Terahertz and Millimeter Waves and Department of Electrical Engineering, City University of Hong Kong, Hong Kong, SAR China; State Key Laboratory of Terahertz and Millimeter Waves and Department of Electrical Engineering, City University of Hong Kong, Hong Kong, SAR China; School of Electronics and Information Technology and the Guangdong Provincial Key Laboratory of Optoelectronic Information Processing Chips and Systems, Sun Yat-sen University, Guangzhou, China",2023,"General Research Fund (GRF) Grant from the Research Grants Council, Hong Kong, SAR, China(grant numbers:CityU 11218020); Shenzhen-Hong Kong-Macau Science and Technology Project (Category C)(grant numbers:SGDX20210823104002018); ",High gain;metal lens;omnidirectional antenna;phase correction;wideband,Metals;Lenses;Antennas;Antenna arrays;Gain;Broadband antennas;Omnidirectional antennas
T. D. Ha; L. Zhu; N. Alsaab; P. -Y. Chen; J. L. Guo,"Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical and Computer Engineering, University of Illinois at Chicago, Chicago, IL, USA; Department of Electrical Engineering, University of Michigan, Ann Arbor, MI, USA",2023,"NSF Electrical, Communications and Cyber Systems-Communications, Circuits, and Sensing Systems (ECCS-CCSS)(grant numbers:1914420); ",Fabry-Perrot cavity (FPC) antennas;metasurfaces;radar cross section (RCS) reduction;radomes;transparent antennas,Metasurfaces;Microstrip antennas;Radomes;Optical reflection;Optical films;Directive antennas;Antenna radiation patterns
S. M. H. Mousavi; S. A. Rezaeieh; A. Darvazehban; B. Mohammed; A. S. Janani; A. M. Abbosh,"School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia; School of Information Technology and Electrical Engineering, The University of Queensland, Brisbane, QLD, Australia",2023,University of Queensland Research Training Program (UQRTP) Scholarship; ,Fatty liver;lens antenna;medical imaging;slot antenna;torso scanning,Lenses;Antennas;Torso;Permittivity;Indexes;Imaging;Antenna measurements
T. H. Jang; K. P. Jung; C. S. Park,"School of Electrical Engineering, Hanyang University, Ansan, Republic of Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea; Department of Electrical Engineering, Korea Advanced Institute of Science and Technology (KAIST), Daejeon, South Korea",2023,"National Research Foundation of Korea (NRF) grant funded by the Korea Government [Ministry of Science, ICT and Future Planning (MSIP)](grant numbers:2022R1F1A1072517); research fund of Hanyang University(grant numbers:HY-2022-2565); ",Antenna;broadband;E-shaped patch;L-probe patch,Antenna arrays;Antennas;Broadband antennas;Resonant frequency;Phased arrays;Patch antennas;Antenna measurements
