Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Table of contents,,,IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,C1,622,Presents the table of contents for this issue of the publication.,1558-2221,,10.1109/TAP.2020.3048867,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345556,,,,,,,IEEE,2 Feb 2021,,,IEEE,IEEE Journals
IEEE Transactions on Antennas and Propagation,,,IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,C2,C2,"Presents a listing of the editorial board, board of governors, current staff, committee members, and/or society editors for this issue of the publication.",1558-2221,,10.1109/TAP.2020.3048868,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345540,,,,,,,IEEE,2 Feb 2021,,,IEEE,IEEE Journals
"A Heuristic Study of the Bandwidth Potential of Electrically Small, Platform-Based Antennas at the HF Band",A. Bouvy; N. Behdad,"Department of Electrical and Computer Engineering, University of Wisconsin–Madison, Madison, WI, USA; Department of Electrical and Computer Engineering, University of Wisconsin–Madison, Madison, WI, USA",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,623,635,"In this article, two primary bandwidth considerations for electrically small, platform-based antennas in the high-frequency (HF) band were analyzed: coupling element (CE) location and CE design. First, we analyzed an all-metallic cuboid platform with dimensions of 3.20 × 2.76 × 7.54 m3 at 5 MHz. At this frequency, the isolated platform has one dominant characteristic mode. In this analysis, a variety of electrically small CE designs, each occupying a fixed hemispherical volume with a radius of 0.5 m, were considered. The bandwidth potential of each element was examined when mounted at different locations on the platform. This analysis was then extended to a more complex platform: the U.S. Marine Corps Assault Amphibious Vehicle (AAV). The CE type and placement were found to have a significant impact on the impedance bandwidth of the antenna. For both the cuboid and the AAV, the highest bandwidth was obtained when a capacitive CE, the spherical-cap monopole, was mounted at the corners of the platform. Though one mode is dominant, contributions of higher-order modes play a significant role in the obtained bandwidth. A scaled model of the cuboid platform and the spherical-cap monopole were fabricated and experimentally characterized. Measurement results were found to be in good agreement with simulations.",1558-2221,,10.1109/TAP.2020.3016405,"Office of Naval Research under ONR(grant numbers:N00014-16-1-2098); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171506,Antenna theory;antennas;characteristic mode (CM) analysis;communication systems;electrically small antennas (ESAs);electromagnetic (EM) analysis;military communication;mobile antennas,Bandwidth;Couplings;Electric potential;Current distribution;Ice;Antenna theory,,5,,39,IEEE,19 Aug 2020,,,IEEE,IEEE Journals
A Quad-Polarization Reconfigurable Antenna With Suppressed Cross Polarization Based on Characteristic Mode Theory,L. Zhang; Y. Sun; Y. He; S. -W. Wong; C. Mao; L. Ge; S. Gao,"College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; 5G Innovation Center (5GIC), Institute for Communication Systems (ICS), University of Surrey, Guildford, U.K.; College of Electronics and Information Engineering, Shenzhen University, Shenzhen, China; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,636,647,"Based on characteristic mode theory (CMT), a quad-polarization reconfigurable antenna with suppressed cross polarization is proposed in this article. The proposed antenna is composed of the radiator, excitation units, and feeding network. A square conductive slab (SCS) is used as the main radiator, which is designed elaborately by characteristic mode analysis (CMA). Different modes of the radiator are stimulated selectively by four groups of balanced inductive exciters (BIEs) to realize horizontal polarization (HP), vertical polarization (VP), left-hand circular polarization (LHCP), and right-hand circular polarization (RHCP). Two p-i-n diodes are embedded into the feeding network to switch the excitation states of the four groups of BIEs, thereby achieving quad-polarization reconfiguration. More importantly, a novel method exploiting the CMA is adopted for achieving low cross polarization. By means of introducing the orthogonal mode, the cross-polarization component of the fundamental mode can be canceled out by the co-polarization component of the orthogonal mode, which greatly reduces the cross polarization from -10 to -40 dB in the two principal planes. The measurement results demonstrate that the quad-polarization agility and a cross-polarization level around -30 dB under all polarization states are achieved simultaneously, verifying the functionality and reliability of the proposed method.",1558-2221,,10.1109/TAP.2020.3016384,"National Natural Science Foundation of China(grant numbers:61801299); Natural Science Foundation of Guangdong Province(grant numbers:2020A1515011037); Mobility Program for Taiwan Young Scientists(grant numbers:RW2019TW001); Shenzhen Science and Technology Program(grant numbers:GJHZ20180418190529516,JSGG20180507183215520); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171483,Characteristic mode theory (CMT);low cross polarization;polarization reconfigurable antenna,Antenna radiation patterns;Polarization;Antenna feeds;Antenna theory;Dipole antennas;Current distribution,,42,,38,IEEE,19 Aug 2020,,,IEEE,IEEE Journals
A Compact Highly Efficient Π-Section CRLH Antenna Loaded With Textile AMC for Wireless Body Area Network Applications,M. El Atrash; M. A. Abdalla; H. M. Elhennawy,"Electronics and Communications Department, Ain Shams University, Cairo, Egypt; Electronic Engineering Department, Military Technical College (MTC), Cairo, Egypt; Electronics and Communications Department, Ain Shams University, Cairo, Egypt",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,648,657,"An ultrathin, compact, and highly efficient antenna based on the π-section composite right/left-handed (CRLH) methodology is presented. It operates at 2.45 GHz of the Industrial, Scientific and Medical (ISM) band with a physical size of 25 mm × 25 mm, a realized gain of 2.34 dBi, and a total efficiency of 87% in free space. Nevertheless, to maintain resonance at 2.45 GHz with body-loading scenarios, a high separation was required, leading to an overall large size. To circumvent that, an all-textile 2 × 2 artificial magnetic conductor (AMC) array was placed in-between the antenna and the human body. In free space, the low-profile integrated design exhibited a gain of 7.63 dBi (enhancement of 5.29 dBi) and total efficiency of 96.4%. The integrated design achieved a gain and total efficiency enhancements by 14.88 dBi and 72.4%, respectively, as well as, lower specific absorption rate (SAR) levels, in comparison with the CRLH antenna alone, for human loading cases. Results are achieved through circuit model and full-wave electromagnetic simulations. In addition, the CRLH antenna and AMC array structure were fabricated and measurements were undertaken, which agreed well with the simulated ones. Therefore, the integrated design is highly suggested to be recognized in wireless body area network (WBAN) and medical applications.",1558-2221,,10.1109/TAP.2020.3010622,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9149794,Compact composite right/left-handed (CRLH) antenna;high gain;low specific absorption rate (SAR);wearable antenna;wireless body area network (WBAN) applications,Antenna measurements;Antenna arrays;Antenna radiation patterns;Biomedical monitoring;Solids;Wireless communication,,34,,35,IEEE,27 Jul 2020,,,IEEE,IEEE Journals
A Contoured-Beam Reflector Satellite Antenna Using Two Doubly Curved Circular Polarization Selective Surfaces,A. Ericsson; D. Sjöberg; G. Gerini; C. Cappellin; F. Jensen; P. Balling; N. J. G. Fonseca; P. de Maagt,"TICRA, Copenhagen, Denmark; Department of Electrical and Information Technology, Lund University, Lund, Sweden; Optics Department, TNO, Delft, CK, The Netherlands; TICRA, Copenhagen, Denmark; TICRA, Copenhagen, Denmark; ASC, Taastrup, Denmark; Antenna and Sub-Millimetre Wave Section, European Space Agency (ESA), Noordwijk, AG, The Netherlands; Antenna and Sub-Millimetre Wave Section, European Space Agency (ESA), Noordwijk, AG, The Netherlands",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,658,671,"We present antenna system using a circular polarization selective surface (CPSS) to realize a circular polarization (CP) equivalent to the widely used linear polarization (LP) gridded or dual-gridded reflector (DGR). The CPSS is realized by a multilayer stack of nonresonant anisotropic meander line surfaces, achieving a very wide bandwidth. The CPSS reflection and transmission dyadics are computed using full-wave simulations for all angles of incidence and design frequencies applicable, and the doubly curved reflector surface shapes are optimized in the TICRA POS software. The data are input to the TICRA tools software framework for antenna-system level radio frequency (RF) simulations. A planar CPSS sample was first manufactured and tested to demonstrate the adequacy of the selected multilayer design. A doubly curved reflector demonstrator based on the same technology and with a projected aperture of 750 mm was then designed, manufactured, and tested at Ku-band. While promising, the experimental results emphasize the difficulty of producing an electrically large multilayer doubly curved surface with RF performance equivalent to the original flat design and recommendations are provided to improve further the implementation of the proposed design.",1558-2221,,10.1109/TAP.2020.3026477,"European Space Agency (ESA) in the frame of the Technology Research Programme (TRP)(grant numbers:4000108854/13/NL); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9210232,Circular polarization (CP);circular polarization selective surface (CPSS);doubly curved demonstrator;polarization selectivity;reflector antenna,Reflector antennas;Antennas;Satellite antennas;Polarization;Satellite broadcasting;Bandwidth;Nonhomogeneous media,,7,,30,IEEE,30 Sep 2020,,,IEEE,IEEE Journals
Antenna Decoupling by Common and Differential Modes Cancellation,L. Sun; Y. Li; Z. Zhang; H. Wang,"Zhijun Zhang are with the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; Zhijun Zhang are with the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; Zhijun Zhang are with the Beijing National Research Center for Information Science and Technology (BNRist), Tsinghua University, Beijing, China; Huawei Technology Ltd., Berkshire, U.K.",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,672,682,"In this article, a general decoupling method based on a new perspective of common mode (CM) and differential mode (DM) cancellation is proposed. For two closely spaced antennas, the mutual coupling effect can be analyzed and solved by exciting them simultaneously with in-phase (CM) and out-of-phase (DM) signals. It is theoretically proved that, if CM and DM impedances are the same, the mutual coupling effect between two separated antennas can be totally eliminated. Therefore, we can solve the coupling problem by CM and DM impedance analysis and exploit the unique field properties of characteristic modes to assist in antenna decoupling in a physical intuitive way. To validate the feasibility of this method, two practical design examples, including the decoupling between closely spaced dipole antennas and planar inverted-F antennas, are proposed. Both design examples have demonstrated that the proposed method can provide a systemic design guideline for antenna decoupling and achieve better decoupling performance compared to the conventional decoupling techniques. We forecast the proposed decoupling scheme, with a simplified decoupling procedure, has great potential for the applications of antenna arrays and multi-input multi-output (MIMO) systems.",1558-2221,,10.1109/TAP.2020.3009427,"National Natural Science Foundation of China(grant numbers:61971254,61525104); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9145774,Antenna decoupling;common mode (CM);differential mode (DM);mode cancellation;multi-inputmulti-output (MIMO);mutual coupling,Dipole antennas;Antenna arrays;Impedance;Couplings;Mutual coupling;Scattering parameters,,164,,48,IEEE,21 Jul 2020,,,IEEE,IEEE Journals
Millimeter-Wave Beam-Steering Antenna Using a Fluidically Reconfigurable Lens,I. Goode; C. E. Saavedra,"Department of Electrical and Computer Engineering, Queen’s University, Kingston, ON, Canada; Department of Electrical and Computer Engineering, Queen’s University, Kingston, ON, Canada",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,683,688,"A fluidically reconfigurable millimeter-wave (mm-wave)-lensed antenna is reported that covers the band from 32 to 35 GHz. The antenna is a modified antipodal Vivaldi antenna element with a fluidically loaded dielectric lens to facilitate single-element beam-steering. The fluid used in this work is ethyl acetate (C4H8O2) with εr = 5.0 + j1.3, tan δ = 0.26 at 33.5 GHz. The antenna element and lens are manufactured using a substrate with εr = 3.55 and tan δ = 0.0027. Experimental results show that the antenna can produce up to 25° of beam-steering at 32 GHz and up to 20° of beam-steering at 35 GHz. The maximum realized gain of the antenna is 8.6 dBi and the minimum realized gain is 5.6 dBi over the band.",1558-2221,,10.1109/TAP.2020.3016429,"Natural Sciences and Engineering Research Council of Canada (NSERC)(grant numbers:#RGPIN-2016-04784); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171428,Antennas;antipodal Vivaldi;beam-steering;dielectric fluid;ethyl acetate;fluidic;lens;lensed antenna;microfluidics;microwave;millimeter-wave (mm-wave);planar antenna,Lenses;Dielectrics;Substrates;Dielectric materials;Permittivity;Microwave antennas,,21,,27,IEEE,19 Aug 2020,,,IEEE,IEEE Journals
Design of a Reduced-Size Crossed-Dipole Antenna,K. E. Kedze; H. Wang; Y. Kim; I. Park,"Department of Electrical and Computer Engineering, Ajou University, Suwon, South Korea; Department of Electrical and Computer Engineering, Ajou University, Suwon, South Korea; Department of Electrical and Computer Engineering, California State University, Fresno, CA, USA; Department of Electrical and Computer Engineering, Ajou University, Suwon, South Korea",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,689,697,"This article proposes two reduced-size crossed-dipole antennas that comprise two printed crossed-dipole arms and a pair of vacant-quarter printed rings to generate circularly polarized (CP) radiation. The T-shaped crossed-dipole antenna is similar to a conventional crossed-dipole antenna but differs that half of the crossed dipole is rotated 90°. This rotation reduces the dipole's area coverage by nearly half, resulting in a compact antenna that generates CP radiation with performance similar to that of a conventional crossed-dipole antenna. A compact folded E-shaped crossed dipole with good CP radiation characteristics is formed by folding the arms of the T-shaped antenna. The performance of these compact reducedsize crossed-dipole antennas is discussed. The T-shaped antenna with an overall radiator size of 30.3 mm × 51.4 mm × 0.508 mm (0.29 λo × 0.5λo × 0.005λo at 2.97 GHz) has an ιS11ι <; -10 dB bandwidth of 2.58-3.42 GHz (28%) and a 3 dB AR bandwidth of 2.78-3.16 GHz (12.8%). The folded E-shaped crossed-dipole antenna with overall dimensions of 19.6 mmχ31 mmχ0.508 mm (0.21λo × 0.33λo × 0.0055λo at 3.25 GHz) has an ιS11ι <; -10 dB bandwidth of 2.92-3.44 GHz (16.4%) and a 3 dB AR bandwidth of 3.06-3.44 GHz (11.7%).",1558-2221,,10.1109/TAP.2020.3016392,"National Research Foundation of Korea (NRF) grant funded by the Korea government (MSIT)(grant numbers:2018R1D1A1A02086071); “Human Resources Program in Energy Technology” of the Korea Institute of Energy Technology Evaluation and Planning (KETEP), granted financial resource from the Ministry of Trade, Industry & Energy, Republic of Korea(grant numbers:20184030202220); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171551,Antenna miniaturization;broadband;circular polarization;crossed dipole,Dipole antennas;Bandwidth;Antennas;Impedance;Substrates;Geometry;Broadband antennas,,28,,31,IEEE,19 Aug 2020,,,IEEE,IEEE Journals
Design of Low-SAR Mobile Phone Antenna: Theory and Applications,H. H. Zhang; G. G. Yu; Y. Liu; Y. X. Fang; G. Shi; S. Wang,"National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; School of Artificial Intelligence, Xidian University, Xi’an, China; Huawei Technology Co., Ltd., Xi’an, China",IEEE Transactions on Antennas and Propagation,2 Feb 2021,2021,69,2,698,707,"This article focuses on the design of a low specific absorption rate (SAR) mobile phone antennas. First, the interaction mechanism of the radiation fields of mobile phone antennas with nearby human tissues is analyzed by using boundary conditions of electromagnetics. The relations between SAR and the electric field are constructed. Then, a concept of reverse current is proposed to decrease the electric field radiated by the antenna at the air-tissue interface and, consequently, reduce the SAR of human tissues. Finally, a metal-rimmed mobile phone antenna is designed according to the proposed theory. The ground clearance of the designed antenna is 2 mm. Their measured normalized peak head and body SAR values are lower than 1.0 W/kg, much less than the SAR safety limit of 1.6 W/kg according to the guidelines of IEEE and FCC or 2.0 W/kg according to the guidelines of the International Commission on Non-Ionizing Radiation Protection (ICNIRP). The measured -6 dB impedance bandwidths are 830-1040 and 1670-2730 MHz, respectively. The measured efficiencies are higher than -5 dB at the lower band and -4 dB at the higher band. The measured results prove that the proposed theory can provide guidance for the design of low-SAR mobile phone antennas.",1558-2221,,10.1109/TAP.2020.3016420,"Huawei Technologies, China; National Natural Science Foundation of China(grant numbers:61701376); Natural Science Foundation of Shaanxi Province(grant numbers:2019JQ-030); ",https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9171484,Low specific absorption rate (SAR);metal rim;mobile phone antennas;small ground clearance,Mobile handsets;Mobile antennas;Antenna theory;Antenna measurements;Antenna accessories;Metals,,62,,34,IEEE,19 Aug 2020,,,IEEE,IEEE Journals
