Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
K. Lu; K. W. Leung,"State Key Laboratory of Terahertz and Millimeter Waves, City University of Hong Kong, Hong Kong; State Key Laboratory of Terahertz and Millimeter Waves, City University of Hong Kong, Hong Kong",2020,"General Research Fund (GRF) Research Grant from the Research Grants Council of Hong Kong, China(grant numbers:CityU 116609); National Natural Science Foundation of China(grant numbers:61728106); Fundamental Research Program of Shenzhen City(grant numbers:JCYJ20170818094814530); ",Antenna radiation patterns;broadband antennas;circular polarization;millimeter-wave (mm-Wave) propagation;mobile antennas;parallel plate (PP);slot antenna,Apertures;Dielectric resonator antennas;Receiving antennas;Slot antennas;Broadband antennas;Antenna measurements
N. -W. Liu; L. Zhu; Z. -X. Liu; Z. -Y. Zhang; G. Fu; Y. Liu,"National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; Department of Electrical and Computer Engineering, Faculty of Science and Technology, University of Macau, Macau, China; Department of Electrical and Computer Engineering, Faculty of Science and Technology, University of Macau, Macau, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China",2020,"National Natural Science Foundation of China(grant numbers:61801348,61571468,61601338); Shaanxi Province Program(grant numbers:2018022); Fundamental Research Funds for the Central Universities(grant numbers:1018/10251180002); Natural Science Foundation of Shaanxi Province(grant numbers:2019JM-201,2019JM-489); Universidade de Macau(grant numbers:MYRG2017-00007-FST,MYRG2018-00073-FST,CPG2019-00024-FST); ",Cross-polarization reduction;open-ended stubs;shorted patch antenna (SPA),Antenna radiation patterns;Electromagnetic compatibility;Electric fields;Patch antennas;Antenna measurements;Resonant frequency
O. A. Iupikov; W. Hallberg; R. Maaskant; C. Fager; R. Rehammar; K. Buisman; M. V. Ivashina,"Electrical Engineering Department, Chalmers University of Technology, Gothenburg, Sweden; Microtechnology and Nanoscience Department, Chalmers University of Technology, Gothenburg, Sweden; Electrical Engineering Department, Chalmers University of Technology, Gothenburg, Sweden; Microtechnology and Nanoscience Department, Chalmers University of Technology, Gothenburg, Sweden; Bluetest AB, Gothenburg, Sweden; Microtechnology and Nanoscience Department, Chalmers University of Technology, Gothenburg, Sweden; Electrical Engineering Department, Chalmers University of Technology, Gothenburg, Sweden",2020,"Ericsson, Gapwaves, Bluetest and the Strategic Innovation Program “Smarter Electronic Systems,” a joint effort by the Swedish Government Agency of Innovation Systems (VINNOVA), Formas; Energimyndigheten(grant numbers:2018-01535); ",Antenna integration;Doherty power amplifier,Antennas
L. Gong; Y. Fu; K. Y. Chan; J. A. Nanzer; R. Ramer,"School of Electrical Engineering and Telecommunications, University of New South Wales Sydney, Sydney, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales Sydney, Sydney, Australia; School of Electrical Engineering and Telecommunications, University of New South Wales Sydney, Sydney, Australia; Department of Electrical and Computer Engineering, Michigan State University, East Lansing, USA; School of Electrical Engineering and Telecommunications, University of New South Wales Sydney, Sydney, Australia",2020,Australian Research Council(grant numbers:DP170102939); ,Phase correction;pyramidal horn antennas;sidelobe reduction;substrate integrated waveguide (SIW),Horn antennas;Loaded antennas;Antenna radiation patterns;Substrates;Dielectrics;Aperture antennas
S. Dey; D. Chatterjee; E. J. Garboczi; A. M. Hassan,"Department of Computer Science and Electrical Engineering, University of Missouri–Kansas City, Kansas City, USA; Department of Computer Science and Electrical Engineering, University of Missouri–Kansas City, Kansas City, USA; Applied Chemicals and Materials Division, Material Measurement Laboratory, National Institute of Standards and Technology, Boulder, USA; Department of Computer Science and Electrical Engineering, University of Missouri–Kansas City, Kansas City, USA",2020,National Institute of Standards and Technology(grant numbers:70NANB15H285); “Multi-Scale Computational Modeling of Carbon Nanostructure Composites”; National Science Foundation(grant numbers:1629908); “II-NEW: Experimental Characterization and CAD Development Testbed for Nanoscale Integrated Circuits.”; ,Characteristic mode analysis (CMA);method of moments (MOM);nanostructures/nanoantennas;near-field intensity enhancement (NFIE);plasmonic;split-ring two-wire antenna (SRA);surface integral equation (SIE),Optimization;Shape;Method of moments;Plasmons;Electromagnetics;Antennas;Finite difference methods
P. Qiu; Q. Feng,"School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China; School of Information Science and Technology, Southwest Jiaotong University, Chengdu, China",2020,"National Natural Science Foundation of China(grant numbers:61531016,61831017); Sichuan Provincial Science and Technology Important Projects(grant numbers:2018GZ0139,2018GZDZX0001); ",Low profile;multiple mode;octa band;unbroken metal rim,Metals;Bandwidth;Couplings;Mobile antennas;Mobile handsets;Mathematical model
J. Wu; C. Wang; Y. Guo,"Department of Electronic and Computer Engineering, National University of Singapore, Singapore; Department of Electronic and Computer Engineering, National University of Singapore, Singapore; Department of Electronic and Computer Engineering, National University of Singapore, Singapore",2020,National Research Foundation Singapore(grant numbers:2016231); ,3-D printing;array antenna;circularly polarized (CP);high efficiency;wideband antenna,Antenna arrays;Broadband antennas;Wideband;Antenna feeds;Electromagnetic waveguides;Satellite antennas
B. Rupakula; A. H. Aljuhani; G. M. Rebeiz,"Apple Inc., Cupertino, USA; Department of Electrical and Computer Engineering, University of California at San Diego, San Diego, USA; Department of Electrical and Computer Engineering, University of California at San Diego, San Diego, USA",2020,Qualcomm; ,Antennas;beamsteering;phase shifters;phased arrays;random arrays,Phased arrays;Phase shifters;Gratings;Partitioning algorithms;Azimuth
U. Ullah; S. Koziel; I. B. Mabrouk,"Networks and Communication Engineering Department, Al Ain University of Science and Technology, Abu Dhabi, United Arab Emirates; Engineering Optimization and Modeling Center, Reykjavik University, Reykjavik, Iceland; Networks and Communication Engineering Department, Al Ain University of Science and Technology, Abu Dhabi, United Arab Emirates",2020,Abu Dhabi Department of Education and Knowledge (ADEK) Award for Research Excellence (AARE) 2018; Icelandic Centre for Research(grant numbers:174114051); Narodowe Centrum Nauki(grant numbers:2017/27/B/ST7/00563); ,Circular polarization (CP) antennas;inverse modeling;rapid redesign;simulation-driven design;surrogate modeling;wideband antennas,Broadband antennas;Wideband;Geometry;Shape;Impedance
B. Feng; X. He; J. -C. Cheng; Q. Zeng; C. -Y. -D. Sim,"College of Electronic and Information Engineering, Shenzhen University, Shenzhen, China; Beijing Key Laboratory of Network System Architecture and Convergence, Beijing University of Posts and Telecommunications, Beijing, China; Department of Electronic Engineering, National Taipei University of Technology, Taipei, Taiwan; College of Aeronautics, Nanjing University of Aeronautics and Astronautics, Nanjing, China; Department of Electrical Engineering, Feng Chia University, Taichung, Taiwan",2020,International Cooperation Research Foundation of Shenzhen(grant numbers:GJHZ20180418190621167); Shenzhen Science and Technology Program; State Key Laboratory of Metamaterial Electromagnetic Modulation Technology; ,Artificial magnetic conductor;fifth generation (5G) microcell;high gain;high isolation;low profile antenna,5G mobile communication;Gain;Antenna arrays;Bandwidth;Microcell networks;Dipole antennas
