Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
L. Liu; C. Liu; Z. Li; X. Yin; Z. N. Chen,"Nanjing University of Posts and Telecommunications, Nanjing, China; Nanjing University of Posts and Telecommunications, Nanjing, China; Nanjing University of Posts and Telecommunications, Nanjing, China; State Key Laboratory of Millimeter Waves, Southeast University, Nanjing, China; Electrical and Computer Engineering Department, National University of Singapore, Singapore",2019,"National Natural Science Foundation of China(grant numbers:U1536124,U1536123,61771127); State Key Laboratory of Millimeter Waves(grant numbers:K201827); ",Miniaturization;mutual coupling;slit-slot line;slot antenna;tripolarized multi-input-multi-output (MIMO) antenna,Slot antennas;Antenna arrays;Power transmission lines;MIMO communication;Antenna radiation patterns;Dipole antennas;Capacitance
S. Zarbakhsh; M. Akbari; F. Samadi; A. -R. Sebak,"Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada; Department of Electrical and Computer Engineering, Concordia University, Montreal, QC, Canada",2019,,Antenna;circularly polarization (CP);Fabry–Perot cavity (FPC);frequency selective surface (FSS);metasurface;radar cross section (RCS);sequential feeding,Frequency selective surfaces;Broadband antennas;Reflection;Gain;Cavity resonators;Bandwidth
M. Bodehou; C. Craeye; E. Martini; I. Huynen,"ICTEAM Institute, Université catholique de Louvain, Louvain-la-Neuve, Belgium; ICTEAM Institute, Université catholique de Louvain, Louvain-la-Neuve, Belgium; Wave Up S.r.l., Florence, Italy; ICTEAM Institute, Université catholique de Louvain, Louvain-la-Neuve, Belgium",2019,Belgium Fonds National de la Recherche Scientifique Fund through a Fonds pour la formation à la Recherche dans l’Industrie et dans l’Agriculture Grant; ,Basis functions;beam shaping;impedance boundary condition (IBC);integral equations;inverse problems;leaky-wave (LW) antennas;metasurfaces (MTSs),Impedance;Surface impedance;Antenna radiation patterns;Substrates;Optical surface waves;Testing
M. -C. Tang; Z. Wu; T. Shi; R. W. Ziolkowski,"Key Laboratory of Dependable Service Computing, Cyber Physical Society Ministry of Education, College of Communication Engineering, Chongqing University, Chongqing, China; Key Laboratory of Dependable Service Computing, Cyber Physical Society Ministry of Education, College of Communication Engineering, Chongqing University, Chongqing, China; Key Laboratory of Dependable Service Computing, Cyber Physical Society Ministry of Education, College of Communication Engineering, Chongqing University, Chongqing, China; Global Big Data Technologies Centre, University of Technology Sydney, Ultimo, NSW, Australia",2019,"National Natural Science Foundation of China(grant numbers:61471072); Graduate Scientific Research and Innovation Foundation of Chongqing, China(grant numbers:CYB18069); Innovative Leading Talents in Science and Technology of Chongqing(grant numbers:CSTCCXLJRC201705); Chongqing University(grant numbers:cqu2017hbrc1A08); Young Backbone Teachers in Colleges and Universities of Chongqing(grant numbers:0307001104102); Fundamental Research Funds for the Central Universities(grant numbers:2018CDQYTX0025); Australian Research Council(grant numbers:DP160102219); ",Directivity;dual band;electrically small antennas;Huygens dipole antennas;linear polarization;low profile,Dual band;Dipole antennas;Antenna measurements;Prototypes;Baluns;Resonant frequency;Wireless communication
J. C. Prather; M. Bolt; T. Horton; B. Bottenfield; S. Wentworth; M. L. Adams,"Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA; Department of Electrical and Computer Engineering, Auburn University, Auburn, AL, USA",2019,"National Oceanic and Atmospheric Administration(grant numbers:WC-133R-15-CN-0071,WC-133R-16-CN-0113); Mano Nano Technologies, Inc.; ",Antennas;biomimetic;dipole;drooping dipole;flexible antenna;GPS;industrial;scientific;and medical (ISM);microstrip antenna;polyamide;printed antenna;ribbon dipole,Rotors;Dipole antennas;Atmospheric measurements;Antenna measurements;Substrates;Sea measurements
W. -H. Ng; E. -H. Lim; F. -L. Bong; B. -K. Chung,"Electrical and Electronic Engineering Department, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Electrical and Electronic Engineering Department, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Electrical and Electronic Engineering Department, Universiti Tunku Abdul Rahman, Kajang, Malaysia; Electrical and Electronic Engineering Department, Universiti Tunku Abdul Rahman, Kajang, Malaysia",2019,"Targeted CREST Fund through the Collaborative Research in Engineering, Science and Technology, Malaysia(grant numbers:T07C2-15); ",Folded patch;metal-mountable tag antenna;ultrahigh frequency (UHF) tag antenna,Antennas;Antenna measurements;Tuning;Resonant frequency;Impedance;Resistance;Integrated circuit modeling
J. Zhang; Y. Zhang,"School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China; School of Economic Management, Beijing University of Aeronautics and Astronautics, Beijing, China",2019,National Natural Science Foundation of China(grant numbers:61071077); National Key R&D Project(grant numbers:2017YFC0805403); Research and Develop fund of China Rail Corp(grant numbers:2017J006-D); ,Antenna;flexibility;low power;wearable device,Magnetic cores;Antennas;Magnetosphere;Magnetic hysteresis;Resistance;Magnetic domains;Magnetomechanical effects
W. Su; Q. Zhang; S. Alkaraki; Y. Zhang; X. -Y. Zhang; Y. Gao,"School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China; School of Electronic Engineering and Computer Science, Queen Mary University of London, London, U.K.",2019,Macau Polytechnic Institute; National Natural Science Foundation of China(grant numbers:61828102); ,Characteristic mode (CM);multimode antenna;multiple-input multiple-output (MIMO) antenna;mutual coupling,Mutual coupling;MIMO communication;Antenna theory;Antenna feeds;Antenna arrays;Antenna measurements
R. Cicchetti; A. Faraone; O. Testa,"Department of Information Engineering, Electronics and Telecommunications, University of Rome “La Sapienza,”, Rome, Italy; Chief Technology Office, Motorola Solutions, Inc., Fort Lauderdale, FL, USA; Department of Information Engineering, Electronics and Telecommunications, University of Rome “La Sapienza,”, Rome, Italy",2019,,Beamforming;Bessel beams;dissipation matrix;eigenfields;eigenmodes;loss matrix;multiport circuits and antennas;near-field synthesis;radiation matrix;reactive power matrix;radio frequency (RF) focusing;scattering matrix;singular-value decomposition,Radio frequency;Reactive power;Microwave antennas;Microwave circuits;Microwave communication;Microwave imaging
J. Choi; W. Hwang; C. You; B. Jung; W. Hong,"Department of Mechanical Engineering, Pohang University of Science and Technology, Pohang, South Korea; Department of Mechanical Engineering, Pohang University of Science and Technology, Pohang, South Korea; Company of LG Electronics Mobile Communications, Seoul, South Korea; Company of LG Electronics Mobile Communications, Seoul, South Korea; Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, South Korea",2019,,All-display;integrated antennas;long-term evolution (LTE) antennas;multi-input multi-output (MIMO) antennas;smartphone antennas,Metals;Broadband antennas;Antenna feeds;Long Term Evolution;Couplings
