Authors,Author Affiliations,Publication Year,Funding Information,Author Keywords,IEEE Terms
D. Erricolo,"Department of Electrical and Computer Engineering, University of Illinois Chicago, Chicago, IL, USA",2022,,,
J. -F. Lin; L. Zhu,"Faculty of Science and Technology, University of Macau, Macau, China; Faculty of Science and Technology, University of Macau, Macau, China",2022,"National Natural Science Foundation of China under General Program(grant numbers:61571468,61971475); Science and Technology Development Fund of Macao under FDCT Research Grant(grant numbers:0095/2019/A2); University of Macau under Multi-Year Research Grants(grant numbers:MYRG2018-00073-FST); Special Grant(grant numbers:CPG2021-00003-FST); ",Characteristic modes analysis (CMA);circular polarization;dual-beam;even/odd modes;high-directivity;low profile,Antenna radiation patterns;Antennas;Perturbation methods;Slot antennas;Couplings;Patch antennas;Radar antennas
W. Saadat; S. A. Raurale; G. A. Conway; J. McAllister,"Centre for Wireless Innovation (CWI), Institute of Electronics, Communications and Information Technology (ECIT), Queen’s University Belfast, Belfast, U.K.; One Planet Research Centre, IMEC, Wageningen, The Netherlands; Centre for Wireless Innovation (CWI), Institute of Electronics, Communications and Information Technology (ECIT), Queen’s University Belfast, Belfast, U.K.; Centre for Data Science and Scalable Computing (DSSC), Institute of Electronics, Communications and Information Technology (ECIT), Queen’s University Belfast, Belfast, U.K.",2022,"Department for the Economy (DFE) Northern Ireland, U.K.; ",Antenna;electric field;radiation efficiency;return loss;tissues,Antennas;Wrist;Biometrics (access control);Muscles;Fats;Antenna measurements;Wireless communication
L. Wen; S. Gao; B. Sanz-Izquierdo; C. Wang; W. Hu; X. Ren; J. Wu,"School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; School of Engineering and Digital Arts, University of Kent, Canterbury, U.K.; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; Innovation and Research Center, China Research Institute of Radiowave Propagation, Qingdao, China; Innovation and Research Center, China Research Institute of Radiowave Propagation, Qingdao, China",2022,"EPSRC(grant numbers:EP/N032497/1,EP/P015840/1,EP/S005625/1); ",Circular polarization;coupling stub;crossed dipole antenna;wideband antenna,Dipole antennas;Couplings;Antennas;Impedance;Broadband antennas;Wideband;Color
W. Wang; N. C. Garcia; J. D. Chisum,"Department of Electrical Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Electrical Engineering, University of Notre Dame, Notre Dame, IN, USA; Department of Electrical Engineering, University of Notre Dame, Notre Dame, IN, USA",2022,"Department of the Navy, Office of Naval Research(grant numbers:N00014-20-C-1067); ",Gradient index (GRIN) lens;inhomogeneous media;matching taper;metamaterial;millimeter-wave,Lenses;Impedance;Permittivity;Passband;Antennas;Apertures;Prediction algorithms
H. -R. Zu; B. Wu; Y. -T. Zhao; T. Su; Y. -F. Fan,"National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; Nanjing Electronic Equipment Institute, Nanjing, China",2022,"National Natural Science Foundation of China (NSFC)(grant numbers:61771360,U19A2055,62071357); Key Industry Chain Project of Shaanxi Province(grant numbers:2018ZDCXL-GY-08-03-01); Key Laboratory Foundation(grant numbers:6142216180104); ",Dual bands;dual radiation modes;endfire;frequency scanning;spoof surface plasmon polariton (SSPP),Antennas;Periodic structures;Electromagnetic waveguides;Dispersion;Harmonic analysis;Frequency modulation;Microwave antennas
Y. Quan; H. Wang; S. Tao; J. Yang,"Department of Communication Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Communication Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Communication Engineering, Nanjing University of Science and Technology, Nanjing, China; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden",2022,"Millimeter-Wave Technology Laboratory-Radio Frequency, Nanjing University of Science and Technology; ",45° linear polarization;cruciform coupler;gap waveguide (GWG);metal fences;multibeam antenna,Gap waveguide;Antennas;Metals;Butler matrices;Microstrip;Directional couplers;Rectangular waveguides
L. Chang; G. Zhang; H. Wang,"School of Information and Communications Engineering, Xi’an Jiaotong University, Xian, China; Consumer Business Group of Huawei Inc., Beijing, China; Consumer Business Group of Huawei Inc., Reading, U.K.",2022,,Fifth generation (5G);half-mode patch antenna;microstrip patch antenna;multiple band antenna;multiple-input multiple-output (MIMO);sequentially rotated array;triple band antenna,Antennas;5G mobile communication;Pins;Patch antennas;Microstrip antennas;Slot antennas;Bandwidth
S. S. Syed Nasser; Z. N. Chen,"Department of Electrical and Computer Engineering, National University of Singapore, Singapore; Department of Electrical and Computer Engineering, National University of Singapore, Singapore",2022,,Metasurface;low profile;wideband antenna;susceptibility;surface waves,Metasurfaces;Broadband antennas;Surface waves;Antennas;Substrates;Dipole antennas;Surface impedance
A. M. Hakimi; A. Keivaan; H. Oraizi; A. Amini,"School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran; Department of Electrical Engineering, Polytechnique Montréal, Montreal, QC, Canada; School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran; School of Electrical Engineering, Iran University of Science and Technology, Tehran, Iran",2022,,Circularly polarized antennas;holographic antennas;leaky-wave antennas;metasurfaces,Antennas;Surface impedance;Bandwidth;Surface waves;Leaky wave antennas;Impedance;Metasurfaces
E. Slevin; M. B. Cohen; N. Opalinski; L. Thompson; M. Golkowski,"School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; School of Electrical and Computer Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Electrical Engineering, University of Colorado at Denver, Denver, CO, USA",2022,Office of Naval Research (ONR) Young Investigator Program of the Georgia Institute of Technology(grant numbers:N00014-15-1-2526); Defense Advanced Research Projects Agency (DARPA) through the Georgia Institute of Technology(grant numbers:HR0011-16-2-0031); Air Force STTR Program of Long Wave Inc. and Georgia Institute of Technology(grant numbers:FA8750-20-C-0205); ,Efficiency–bandwidth tradeoff;electrically small antenna (ESA);matching network;nonreciprocal network;pulse amplitude modulation (PAM);time-varying antenna;very low frequency (VLF)/low frequency (LF),Antennas;Bandwidth;Dipole antennas;Broadband antennas;Impedance;Resistance;Transmitting antennas
W. Fuscaldo; A. Galli; D. R. Jackson,"Consiglio Nazionale delle Ricerche, Istituto per la Microelettronica e Microsistemi, Rome, Italy; Department of Information Engineering, Electronics and Telecommunications, Sapienza University of Rome, Rome, Italy; Department of Electrical and Computer Engineering, University of Houston, Houston, TX, USA",2022,,1-D arrays;beamwidth;gain;leaky waves;leaky-wave antennas (LWAs);radiation patterns,Antennas;Optimization;Antenna arrays;Antenna radiation patterns;Leaky wave antennas;Computational modeling;Two dimensional displays
D. Zhao; F. Lin; H. Sun; X. Y. Zhang,"School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Information and Electronics, Beijing Institute of Technology, Beijing, China; School of Electronic and Information Engineering, South China University of Technology, Guangzhou, China",2022,"Beijing Natural Science Foundation(grant numbers:4212053); National Natural Science Foundation of China(grant numbers:61601026,61601024); ",Dual-band;filtering antenna;miniaturization;out-of-band rejection;radiation nulls;substrate integrated waveguide (SIW),Filtering;Antennas;Dual band;Resonant frequency;MIM capacitors;Capacitance;Antenna measurements
N. -W. Liu; L. Zhu; Z. -X. Liu; M. Li; G. Fu; Y. Liu,"National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; Department of Electrical and Computer Engineering, Faculty of Science and Technology, University of Macau, Macau, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China; National Key Laboratory of Antennas and Microwave Technology, Xidian University, Xi’an, China",2022,"National Natural Science Foundation of China(grant numbers:61801348,61971475); Natural Science Foundation of Shaanxi Province(grant numbers:2019JM-201); University of Macau(grant numbers:MYRG2018-00073-FST,FDCT0095/2019/A2); ",Circularly polarized diversity;characteristic mode analysis (CMA);compact size;extremely small spacing;mutual coupling;patch antenna,Antennas;Patch antennas;Resonant frequency;Current;Diversity reception;Antenna radiation patterns;Characteristic mode analysis
